username,sentimen,comment,translated_comment,case_folding,cleaning,lemmatization,remove_stopwords
cyntia.novia,positif,"@nasikrawu Ketinggalan info ya kak ? Sudah ada kebijakan terkait Bus Trans Jatim arah Pantura, rencana nya akan mulai beroperasi bulan Agustus nanti","It has been missed, information is already available, sir, regarding the policy related to the East Java North Coast route bus, which is planned to start operating in August.","it has been missed, information is already available, sir, regarding the policy related to the east java north coast route bus, which is planned to start operating in august.",it has been missed  information is already available  sir  regarding the policy related to the east java north coast route bus  which is planned to start operating in august,miss information already available sir regard policy relate east java north coast route bus plan start operate august,miss information available sir regard policy relate east java north coast route bus plan start operate august
nasikrawu,positif,@cyntia.novia antisipasi untuk mengurangi angka kecelakaan hari ini sampe besok agustus apa langkah dari pemkab gresik ??,Girlfriend's anticipation to reduce the number of accidents today until tomorrow August is what step from the Gresik Regency Government.,girlfriend's anticipation to reduce the number of accidents today until tomorrow august is what step from the gresik regency government.,girlfriend s anticipation to reduce the number of accidents today until tomorrow august is what step from the gresik regency government,girlfriend anticipation reduce number accident today tomorrow august step gresik regency government,girlfriend anticipation reduce number accident today tomorrow august step gresik regency government
ollanita.rk,positif,@aritasudjatmoko iya te,No problem.,no problem.,no problem,problem,problem
cozbie,positif,Ada berapa armada min..,How many fleets are there?,how many fleets are there?,how many fleets are there,many fleet there,fleet
deddyyuli,positif,Kapan Yo min..... Semoga cepat terlaksana Yo 👏👏,May my wishes be fulfilled soon.,may my wishes be fulfilled soon.,may my wishes be fulfilled soon,wish fulfil soon,wish fulfil soon
sramasmdy,positif,"Kalau boleh saran min, saya sebagai warga Gresik masih kurang merasakan keberlanjutan pembangunan di Kabupaten Gresik. Gresik masih banyak PR nya terutama dalam fasilitas dan pelayanan publik. ","If I may offer a suggestion, as a Gresik citizen, I still do not feel the sustainability of development in Gresik Regency, which still lacks many aspects, especially in public facilities and services.","if i may offer a suggestion, as a gresik citizen, i still do not feel the sustainability of development in gresik regency, which still lacks many aspects, especially in public facilities and services.",if i may offer a suggestion  as a gresik citizen  i still do not feel the sustainability of development in gresik regency  which still lacks many aspects  especially in public facilities and services,offer suggestion gresik citizen still feel sustainability development gresik regency still lack many aspect especially public facility service,offer suggestion gresik citizen feel sustainability development gresik regency lack aspect especially public facility service
hisyams_58,positif,petanya mana kak,Where is the bathroom?,where is the bathroom?,where is the bathroom,bathroom,bathroom
kelvinfbrn,negatif,Jalan di gresik perlu di kembangkan mengingat banyaknya truk2 industri. Banjir juga harus segera diatasi,"The road in Gresik needs to be developed considering the many trucks, and the flood problem must also be addressed urgently.","the road in gresik needs to be developed considering the many trucks, and the flood problem must also be addressed urgently.",the road in gresik needs to be developed considering the many trucks  and the flood problem must also be addressed urgently,road gresik need develop consider many truck flood problem also address urgently,road gresik need develop consider truck flood problem address urgently
satriawanrizky1927,negatif,"Aku maih gak paham lihat video ini, masih belum ada gambaran sama sekali 😂","I still don't understand, I've watched this video, but I still don't have any idea at all.","i still don't understand, i've watched this video, but i still don't have any idea at all.",i still don t understand  i ve watched this video  but i still don t have any idea at all,still don t understand ve watch video still don t idea at all,don t understand ve watch video don t idea
itsgantroeng04,positif,Info pilot drone lur @ariebsn 😂😂,Information pilot for drone control.,information pilot for drone control.,information pilot for drone control,information pilot drone control,information pilot drone control
aris.mawan21,negatif,Banjir,Flood.,flood.,flood,flood,flood
skaringg,negatif,Gus gak pengen main ke oma indah menganti kah ? sudah seminggu digenangi air.. apa gak pengen nyari akar permasalahannya supaya rakyatnya ini gak kebanjiran terus gus ? @fandiakhmadyani,"I don't want to play around, Mr. Governor, the Indah Menganti flood has been inundated with water for a week, do you not want to find the root of the problem so that the people here are not constantly flooded, sir?","i don't want to play around, mr. governor, the indah menganti flood has been inundated with water for a week, do you not want to find the root of the problem so that the people here are not constantly flooded, sir?",i don t want to play around  mr  governor  the indah menganti flood has been inundated with water for a week  do you not want to find the root of the problem so that the people here are not constantly flooded  sir,don t want play mr governor indah menganti flood inundate water week want find root problem people here constantly flood,don t want play mr governor indah menganti flood inundate water week want find root problem people constantly flood
achamdani,negatif,"Gus @fandiakhmadyani, zona badan air next nya seperti apa? Hal yang terlihat normalisasi drainase yg berada ditengah permukiman atau selokan dipinggir jalan juga kurang diperhatikan selama ini, belum lagi masalah banjir juga.","Gus, the badan air zona next looks like what, the thing that appears normal, drainage normalization that is located in the middle of the settlement or the ditch on the side of the road has been overlooked for so long, not to mention the flooding problem as well.","gus, the badan air zona next looks like what, the thing that appears normal, drainage normalization that is located in the middle of the settlement or the ditch on the side of the road has been overlooked for so long, not to mention the flooding problem as well.",gus  the badan air zona next looks like what  the thing that appears normal  drainage normalization that is located in the middle of the settlement or the ditch on the side of the road has been overlooked for so long  not to mention the flooding problem as well,badan air zona next look thing appear normal drainage normalization locate middle settlement ditch side road overlook so long mention flooding problem as well,badan air zona look thing appear normal drainage normalization locate middle settlement ditch road overlook long mention flooding problem
emmalisnawati,positif,Alhamdulillah.. ijin share,"Praise to God, I have permission to share.","praise to god, i have permission to share.",praise to god  i have permission to share,praise god permission share,praise god permission share
bwagresik,positif,Selamat❤️❤️,Congratulations,congratulations,congratulations,congratulation,congratulation
azzahrapribadi,positif,Pemimpin baru semangat baru..,"A new leader, a new spirit.","a new leader, a new spirit.",a new leader  a new spirit,new leader new spirit,new leader new spirit
wisanggeni_yoga,negatif,Pajaknya dinaikkan untuk menutupi defisit 800m lebih itu kah mat 🤭. Pajak elit anggaran sulit.,"The tax rate is increased to cover the deficit, and it is even more difficult to adjust the elite tax budget allocations.","the tax rate is increased to cover the deficit, and it is even more difficult to adjust the elite tax budget allocations.",the tax rate is increased to cover the deficit  and it is even more difficult to adjust the elite tax budget allocations,tax rate increase cover deficit even more difficult adjust elite tax budget allocation,tax rate increase cover deficit difficult adjust elite tax budget allocation
politeknikmapena,positif,Mimin mau kontaknya bisa? karena gak ada kontaknnya min,"He wants to get in touch, but it's not possible because there is no contact.","he wants to get in touch, but it's not possible because there is no contact.",he wants to get in touch  but it s not possible because there is no contact,want get touch s possible contact,want touch s possible contact
sapardi_budi,positif,Terima kasih informasi nya mon,Thank you for the information.,thank you for the information.,thank you for the information,thank information,thank information
bakullan29,positif,Keren lombanya . Khusus untuk anak muda yang menjadi pelopor . Btw spill hadiahnya dong ? ❤️❤️,"The special scope for young pioneers, btw, spill the gift, will you?","the special scope for young pioneers, btw, spill the gift, will you?",the special scope for young pioneers  btw  spill the gift  will you,special scope young pioneer btw spill gift,special scope young pioneer btw spill gift
pemkabgresik,positif,@bakullan29 yuk kak daftar dulu ^^ @bidporakabgresik,You should register first ^^,you should register first ^^,you should register first ^^,register first,register
pemkabgresik,positif,"@politeknikmapena berkas pendaftaran bisa di isi melalui persyaratan poin 4 kak, untuk narahubungnya coba di colek ke instagram @bidporakabgresik ya","The registration form can be filled out through the requirements point, please try to contact the coordinator via Instagram.","the registration form can be filled out through the requirements point, please try to contact the coordinator via instagram.",the registration form can be filled out through the requirements point  please try to contact the coordinator via instagram,registration form fill requirement point try contact coordinator instagram,registration form fill requirement point try contact coordinator instagram
bidporakabgresik,positif,@politeknikmapena halo kak ada yang bisa kami bantu,"Hello, is there anything we can help you with?","hello, is there anything we can help you with?",hello  is there anything we can help you with,help,help
politeknikmapena,positif,@pemkabgresik iyaa benar kak. Sudah saya check.,"It's true, bro, I've already checked.","it's true, bro, i've already checked.",it s true  bro  i ve already checked,s true bro ve already check,s true bro ve check
politeknikmapena,positif, siap akan saya DM Mimin. Terima kasih @pemkabgresik,"I'm ready, I'll DM you, thank you.","i'm ready, i'll dm you, thank you.",i m ready  i ll dm you  thank you,m ready dm thank,m ready dm thank
fatwaamalia_r,positif,link pendaftaran harus mnta akses dulu min,Registration link must request access first.,registration link must request access first.,registration link must request access first,registration link request access first,registration link request access
rozijav,positif, sudah dapat akses masuk kak?,You already have access to enter.,you already have access to enter.,you already have access to enter,already access enter,access enter
onepiec.3,positif,🔥 banyak liburnya,There are many holidays.,there are many holidays.,there are many holidays,many holiday,holiday
pambudibenny,positif,Nyoblos,"I apologize, but ""nyoblos"" is not a valid Indonesian sentence. It seems to be a made-up or nonsensical word. Can you provide a valid Indonesian sentence for me to translate?","i apologize, but ""nyoblos"" is not a valid indonesian sentence. it seems to be a made-up or nonsensical word. can you provide a valid indonesian sentence for me to translate?",i apologize  but  nyoblos  is not a valid indonesian sentence  it seems to be a made up or nonsensical word  can you provide a valid indonesian sentence for me to translate,apologize nyoblos valid indonesian sentence seem make nonsensical word provide valid indonesian sentence translate,apologize nyoblos valid indonesian sentence nonsensical word provide valid indonesian sentence translate
uamardiansyaah,positif,Tanggal 12&13 feb ambil cuti bisa libur panjang min 💥💥,The date and February can take a long leave for a minimum break.,the date and february can take a long leave for a minimum break.,the date and february can take a long leave for a minimum break,date february take long leave minimum break,date february long leave minimum break
annieza_73,positif,Pastinya tanggal 14 ada dua momen,"Indeed, there are two moments in the date.","indeed, there are two moments in the date.",indeed  there are two moments in the date,indeed moment date,moment date
pemkabgresik,positif,@uamardiansyaah asyik yg mau liburan ^^,Exciting for those who want to go on vacation.,exciting for those who want to go on vacation.,exciting for those who want to go on vacation,exciting want go vacation,exciting want vacation
pemkabgresik,positif,"@pambudibenny Suaramu adalah alat keadilan, jangan biarkan terabaikan ^^ salam pemilu damai","The vote is a tool of justice, do not let it be neglected ^^ peaceful election greetings.","the vote is a tool of justice, do not let it be neglected ^^ peaceful election greetings.",the vote is a tool of justice  do not let it be neglected ^^ peaceful election greetings,vote tool justice let neglect peaceful election greeting,vote tool justice let neglect peaceful election greeting
nurnnufidah,positif,"min mau tanya , apakah ini ada tour guide buat jelasin tempat-tempat bersejarahnya? atau kita cuma diajak keliling tempat-tempat itu sambil naik bis aja?",I'd like to ask if there's a tour guide to explain the historical sites or are we just going to be taken around those places on a bus?,i'd like to ask if there's a tour guide to explain the historical sites or are we just going to be taken around those places on a bus?,i d like to ask if there s a tour guide to explain the historical sites or are we just going to be taken around those places on a bus,like ask s tour guide explain historical site just go take place bus,like ask s tour guide explain historical site place bus
st.budi27,positif,@nurnnufidah banyak disana komunitas pecinta sejarah dan budaya..,There are many communities of history and culture enthusiasts there.,there are many communities of history and culture enthusiasts there.,there are many communities of history and culture enthusiasts there,many community history culture enthusiast there,community history culture enthusiast
st.budi27,positif,Mantap👏👏👏,Cool!,cool!,cool,cool,cool
st.budi27,positif,Mantap gus❤️,The teacher is cool.,the teacher is cool.,the teacher is cool,teacher cool,teacher cool
hajir_bbw,negatif,"jarang di daerah Kedamean khususnya ""Jalan poros Desa Lampah"" lah.. biar ngerti mana yang layak dinamakan jalan dengan mana yang layak dinamakan kolam peternakan buaya 🐊🐊 Pak... @dputrgresikkab  @fandiakhmadyani","Rarely in the rural areas, especially on the main village road of Lampah, so it's clear which one deserves to be called a road and which one deserves to be called a crocodile farming pond, sir.","rarely in the rural areas, especially on the main village road of lampah, so it's clear which one deserves to be called a road and which one deserves to be called a crocodile farming pond, sir.",rarely in the rural areas  especially on the main village road of lampah  so it s clear which one deserves to be called a road and which one deserves to be called a crocodile farming pond  sir,rarely rural area especially main village road lampah s clear deserve call road deserve call crocodile farming pond,rarely rural area especially main village road lampah s clear deserve road deserve crocodile farming pond
dputrgresikkab,positif," Baik kakak, terima kasih banyak atas atensinya..","Thank you very much, dear elder sibling, for your attention.","thank you very much, dear elder sibling, for your attention.",thank you very much  dear elder sibling  for your attention,thank very much dear elder sible attention,thank dear elder sible attention
v.danialk,negatif,Tambak nya ya diperhatikno juga nohh,"His pool should also be paid attention to, okay?","his pool should also be paid attention to, okay?",his pool should also be paid attention to  okay,pool also pay attention okay,pool pay attention okay
wahyu_monochrome,negatif,Banjirnya ini gimana gus,"What's with this flood, man?","what's with this flood, man?",what s with this flood  man,s flood man,s flood man
efendidyan,negatif,"Gebyarnya sekali, seletah itu 5 tahun pupuknya hilang lagi",Its fertilizer disappeared again a year after it was well-fertilized only once.,its fertilizer disappeared again a year after it was well-fertilized only once.,its fertilizer disappeared again a year after it was well fertilized only once,fertilizer disappear again year well fertilize only once,fertilizer disappear year fertilize
re4433han,negatif,"kan petanin itu itu saja yang menikmati,",Only that foolish person can enjoy it.,only that foolish person can enjoy it.,only that foolish person can enjoy it,only foolish person enjoy,foolish person enjoy
re4433han,negatif,"Kira² iku bener² petani atau tengkulak yang di undang, Petani di gresik area barat lahannya banyak tapi sulit mendapatkan pupuk, belum lagi saat ini curah hujan yang kurang menjadikan tanaman mereka terhambat tumbuh","It's like this, the farmers or middlemen who were invited, the farmers in the western area of Gresik have a lot of land, but they find it difficult to obtain fertilizer, and what's more, the current low rainfall is hindering the growth of their crops.","it's like this, the farmers or middlemen who were invited, the farmers in the western area of gresik have a lot of land, but they find it difficult to obtain fertilizer, and what's more, the current low rainfall is hindering the growth of their crops.",it s like this  the farmers or middlemen who were invited  the farmers in the western area of gresik have a lot of land  but they find it difficult to obtain fertilizer  and what s more  the current low rainfall is hindering the growth of their crops,s farmer middleman invite farmer western area gresik lot land find difficult obtain fertilizer s more current low rainfall hinder growth crop,s farmer middleman invite farmer western area gresik lot land find difficult obtain fertilizer s current low rainfall hinder growth crop
efendidyan,positif,@re4433han bener pak,"Yes, sir.","yes, sir.",yes  sir,sir,sir
irossidi,positif,Semangat,High spirits,high spirits,high spirits,high spirit,high spirit
tyas_arillah,positif,"Terima kasih min sudah gercep, saya selaku penikmat bajir setiap tahun lokasi di  dari arah semambung - sumput","Thank you very much for always enshrining me as a loyal customer every year at this location, originating from the direction of Semambung Swamp.","thank you very much for always enshrining me as a loyal customer every year at this location, originating from the direction of semambung swamp.",thank you very much for always enshrining me as a loyal customer every year at this location  originating from the direction of semambung swamp,thank very much always enshrine loyal customer year location originate direction semambung swamp,thank enshrine loyal customer year location originate direction semambung swamp
faridfarochi,positif,🔥🔥 gak apa apa min meskipun menunggu datangnya banjir yang penting sudah gerak cepat min. Lanjutkan,"No matter what, even if waiting for the flood to come, what's important is to act quickly and continue.","no matter what, even if waiting for the flood to come, what's important is to act quickly and continue.",no matter what  even if waiting for the flood to come  what s important is to act quickly and continue,no matter even wait flood come s important act quickly continue,matter wait flood come s important act quickly continue
ahmadtoha.hasan,positif,"kok cepet gitu, terbaik","How can it be that fast, the best?","how can it be that fast, the best?",how can it be that fast  the best,that fast good,fast good
khoirulyl,negatif,"Tolong jalan kecamatan dukun sampai desa sawo di aspal, banyak yang bergelombang dan berlubang","The long road from Dukun District to Sawo Village is paved, but has many wavy and potholed sections.","the long road from dukun district to sawo village is paved, but has many wavy and potholed sections.",the long road from dukun district to sawo village is paved  but has many wavy and potholed sections,long road dukun district sawo village pave many wavy pothole section,long road dukun district sawo village pave wavy pothole section
kodeer21,negatif,Faktor alam ?!,Natural factors.,natural factors.,natural factors,natural factor,natural factor
arlienzhiel,positif,"Sekarang itu warganya yang harus sadar diri, jika membuang sampah jangan di sungai lagi, nanti jika banjir menyalahkan bupatinya menyalahkan pemerintah lagi,, kalau sudah dibersihkan harus dijaga lur,, jangan buang sampah sembarangan, kalian bisa mengajarkan anak kalau buang sampah di tempat sampah, tapi kalian sendiri buang sampah sembarangan☺☺","Now it's the citizens' turn to be aware that if they litter, don't do it in the river again, or if there's a flood, they'll blame the regent, blame the government again, if it's already been cleaned up, it must be maintained, don't litter arbitrarily, you can teach your children to throw trash in the trash can, but you yourselves litter arbitrarily.","now it's the citizens' turn to be aware that if they litter, don't do it in the river again, or if there's a flood, they'll blame the regent, blame the government again, if it's already been cleaned up, it must be maintained, don't litter arbitrarily, you can teach your children to throw trash in the trash can, but you yourselves litter arbitrarily.",now it s the citizens  turn to be aware that if they litter  don t do it in the river again  or if there s a flood  they ll blame the regent  blame the government again  if it s already been cleaned up  it must be maintained  don t litter arbitrarily  you can teach your children to throw trash in the trash can  but you yourselves litter arbitrarily,now s citizen turn aware litter don t river again s flood blame regent blame government again s already clean maintain don t litter arbitrarily teach child throw trash trash yourselve litter arbitrarily,s citizen turn aware litter don t river s flood blame regent blame government s clean maintain don t litter arbitrarily teach child throw trash trash yourselve litter arbitrarily
puputnasss,positif,"menganti min, aku baru kerja sudah libur gara gara banjir😢",I've changed my schedule because I just started working and it's already a holiday due to the flood.,i've changed my schedule because i just started working and it's already a holiday due to the flood.,i ve changed my schedule because i just started working and it s already a holiday due to the flood,ve change schedule just start work s already holiday flood,ve change schedule start work s holiday flood
rezadewantara12,negatif,Harusnya dari awal 2023 saat banjir besar pertama sudah di pikirkan solusinya bukan saat2 ini saat banjir yang kedua kalinya terjadi !! Btw oma indah masih tergenang min. Apalagi di blok paling belakang ! Masa setiap februari dari 2023 dan februari 2024 ini terjadi lagi 😢,"It should have been thought out from the start during the first major flood, not now that the second flood has occurred, by the way, Oma Indah is still flooded, especially in the innermost block, which happens every February, including this February.","it should have been thought out from the start during the first major flood, not now that the second flood has occurred, by the way, oma indah is still flooded, especially in the innermost block, which happens every february, including this february.",it should have been thought out from the start during the first major flood  not now that the second flood has occurred  by the way  oma indah is still flooded  especially in the innermost block  which happens every february  including this february,think start first major flood now second flood occur way oma indah still flood especially innermost block happen february include february,think start major flood second flood occur way oma indah flood especially innermost block happen february include february
deekacloud,positif,Widiiiih. Tumben tumbenan 😅 mantap min,It's very common with often being awesome.,it's very common with often being awesome.,it s very common with often being awesome,s very common often awesome,s common awesome
mayangpinyu,negatif,"mohon bantuannya perum kota baru driyorejo jalanannya rusak parah. Jalanan utama. Lubang besar2, sehingga kalau hujan begini bahaya sekali karena lubang tersebut jadi genangan besar. Kakak admin @driyorejoupdate mungkin bisa dibantu video kan kak.. kami berharap jalanan rusak disini dapat segera diperbaiki..","I request your assistance, Sir, the road in Kota Baru, Driyorejo, is severely damaged, the main road has a large pothole, which becomes a massive puddle when it rains, making it extremely dangerous, so I hope you can help us by making a video, Sir admin, we hope that the damaged road here can be repaired soon.","i request your assistance, sir, the road in kota baru, driyorejo, is severely damaged, the main road has a large pothole, which becomes a massive puddle when it rains, making it extremely dangerous, so i hope you can help us by making a video, sir admin, we hope that the damaged road here can be repaired soon.",i request your assistance  sir  the road in kota baru  driyorejo  is severely damaged  the main road has a large pothole  which becomes a massive puddle when it rains  making it extremely dangerous  so i hope you can help us by making a video  sir admin  we hope that the damaged road here can be repaired soon,request assistance sir road kota baru driyorejo severely damage main road large pothole become massive puddle rain make extremely dangerous so hope help make video sir admin hope damage road here repair soon,request assistance sir road kota baru driyorejo severely damage main road large pothole massive puddle rain extremely dangerous hope help video sir admin hope damage road repair soon
blossom.skye,negatif,Coba itu setiap tahun kali lamong yang melewati gresik di normalisasi karena ya bukan karena sampah tapi sedimen pasti banjir aman,"That flood control every year which passes through Gresik during normalisation is not because of trash, but sediment, ensuring a safe flood.","that flood control every year which passes through gresik during normalisation is not because of trash, but sediment, ensuring a safe flood.",that flood control every year which passes through gresik during normalisation is not because of trash  but sediment  ensuring a safe flood,flood control year pass gresik normalisation trash sediment ensure safe flood,flood control year pass gresik normalisation trash sediment ensure safe flood
amirulazizichwan,negatif,"masih banjir min Oma indah menganti, minta tolong dikontrol min takutnya pendangkalan atau hilir sungai terhambat sampah/eceng gondok dll","The floodwater is still high, Mother, in the beautiful Minta, please help control it so that the downstream river is not clogged or congested by waste such as eceng gondok and others.","the floodwater is still high, mother, in the beautiful minta, please help control it so that the downstream river is not clogged or congested by waste such as eceng gondok and others.",the floodwater is still high  mother  in the beautiful minta  please help control it so that the downstream river is not clogged or congested by waste such as eceng gondok and others,floodwater still high mother beautiful minta help control downstream river clog congest waste such eceng gondok other,floodwater high mother beautiful minta help control downstream river clog congest waste eceng gondok
kominfogresik,positif,@faridfarochi mari kita jaga lingkungan bersama ya kak seperti tidak membuang sampah di sungai,"Let us preserve the environment together, okay, brother, like not throwing trash into the river.","let us preserve the environment together, okay, brother, like not throwing trash into the river.",let us preserve the environment together  okay  brother  like not throwing trash into the river,let preserve environment together okay brother throw trash river,let preserve environment okay brother throw trash river
kominfogresik,positif,"halo kak terima kasih atas aspirasinya, kami juga membutuhkan kerja sama dari masyarakat seperti menjaga lingkungan dengan tidak membuang sampah ke selokan maupun ke sungai","Halo, thank you for your aspiration, we also need cooperation from the community, such as taking care of the environment by not littering in drains or rivers.","halo, thank you for your aspiration, we also need cooperation from the community, such as taking care of the environment by not littering in drains or rivers.",halo  thank you for your aspiration  we also need cooperation from the community  such as taking care of the environment by not littering in drains or rivers,halo thank aspiration also need cooperation community such take care environment litter drain river,halo thank aspiration need cooperation community care environment litter drain river
kominfogresik,positif,"sama sama kakak, semoga segera surut dan tidak banjir lagi. Selain itu kita juga membutuhkan kerja sama masyarakat seperti tidak membuang sampah di selokan maupun di sungai","Likewise, elder brother, hopefully the flood will soon subside and not happen again; apart from that, we also need the cooperation of the community, such as not littering in drains or rivers.","likewise, elder brother, hopefully the flood will soon subside and not happen again; apart from that, we also need the cooperation of the community, such as not littering in drains or rivers.",likewise  elder brother  hopefully the flood will soon subside and not happen again  apart from that  we also need the cooperation of the community  such as not littering in drains or rivers,likewise eld brother hopefully flood soon subside happen again apart also need cooperation community such litter drain river,likewise eld brother hopefully flood soon subside happen apart need cooperation community litter drain river
kominfogresik,positif,"halo kakak, bisa cek di vt kami sebelum”nya ya kak. Normalisasi sedang kami usahakan beberapa sudah berprogress .. beberapa faktor terkadang tidak bisa dihindari seperti air kiriman dan instesitas hujan yang tinggi. Selanjutnya dinas terkait juga selalu mengevaluasi","Halo brother, you can check on our previous VT, we are trying to normalize the situation, some are already in progress, but some factors are unavoidable, such as high shipment volumes and heavy rainfall, and subsequently, the related agencies will continue to evaluate.","halo brother, you can check on our previous vt, we are trying to normalize the situation, some are already in progress, but some factors are unavoidable, such as high shipment volumes and heavy rainfall, and subsequently, the related agencies will continue to evaluate.",halo brother  you can check on our previous vt  we are trying to normalize the situation  some are already in progress  but some factors are unavoidable  such as high shipment volumes and heavy rainfall  and subsequently  the related agencies will continue to evaluate,halo brother check previous vt try normalize situation already progress factor unavoidable such high shipment volume heavy rainfall subsequently related agency continue evaluate,halo brother check previous vt try normalize situation progress factor unavoidable high shipment volume heavy rainfall subsequently related agency continue evaluate
kominfogresik,positif,@arlienzhiel mari kita jaga lingkungan bersama untuk hidup yang lebih baik,Let us jointly preserve the environment for a better life.,let us jointly preserve the environment for a better life.,let us jointly preserve the environment for a better life,let jointly preserve environment well life,let jointly preserve environment life
blossom.skye,negatif,@kominfogresik telat gak sih.. harusnya sebelum musim hujan tiba.,It should have been prepared before the rainy season arrives.,it should have been prepared before the rainy season arrives.,it should have been prepared before the rainy season arrives,prepare rainy season arrive,prepare rainy season arrive
arlienzhiel,positif,"siap, di tempat saya banjir saat ini,, karena hujan terus menerus, padahal kali lamongnya sudah di lebarin,, 😉","Ready at my place, it's flooded right now due to continuous rain, even though the drainage canal has already been widened.","ready at my place, it's flooded right now due to continuous rain, even though the drainage canal has already been widened.",ready at my place  it s flooded right now due to continuous rain  even though the drainage canal has already been widened,ready place s flood right now continuous rain even drainage canal already widen,ready place s flood right continuous rain drainage canal widen
rezadewantara12,positif,begitu juga buatkan tanggul agar tiap tahun tidak banjir ! itu morowudi tiap tahun banjir mulu. Dan daerah yang gak pernah banjir sekarang juga ikutan banjir !,"So, also build a dike so that every year it won't flood, that's Morowudi, which always floods every year, and now even areas that never used to flood are also flooded.","so, also build a dike so that every year it won't flood, that's morowudi, which always floods every year, and now even areas that never used to flood are also flooded.",so  also build a dike so that every year it won t flood  that s morowudi  which always floods every year  and now even areas that never used to flood are also flooded,so also build dike year win t flood s morowudi always flood year now even area never use flood also flood,build dike year win t flood s morowudi flood year area use flood flood
rezadewantara12,negatif,Oma Indah Menganti masih banjir ... penyebabnya apa ... sudah 1 minggu lebih .. untuk lingkungan OIM sampah sudah terorganisir dan sudah ada petugas yang mengambilnya. Untuk sungai di OIM bersih sebelum banjir ada kerja bakti membersihkan sungai2 di lingkungan OIM .. Ini banjir ke 2x nya berturut2 dan yang paling lama surutnya !!,"The beautiful OIM environment is still flooded, what is the cause, it has been more than a week, the organized waste management system is already in place and there are officers collecting the trash, but the river in OIM is still not clean, there was a work crew cleaning the river in the OIM environment, this is the xth flood and the longest one to recede.","the beautiful oim environment is still flooded, what is the cause, it has been more than a week, the organized waste management system is already in place and there are officers collecting the trash, but the river in oim is still not clean, there was a work crew cleaning the river in the oim environment, this is the xth flood and the longest one to recede.",the beautiful oim environment is still flooded  what is the cause  it has been more than a week  the organized waste management system is already in place and there are officers collecting the trash  but the river in oim is still not clean  there was a work crew cleaning the river in the oim environment  this is the xth flood and the longest one to recede,beautiful oim environment still flood cause more week organize waste management system already place officer collect trash river oim still clean work crew clean river oim environment xth flood long recede,beautiful oim environment flood cause week organize waste management system place officer collect trash river oim clean work crew clean river oim environment xth flood long recede
enikdwira,negatif,Sudah 10 hari oma indah menganti banjir min,The mother's beautiful day changes the flood.,the mother's beautiful day changes the flood.,the mother s beautiful day changes the flood,mother beautiful day change flood,mother beautiful day change flood
blossom.skye,negatif,@kominfogresik banjir lagi loh daerah gresik selatan katanya selalu mengevaluasi tapi kok 🫢🫢🫢🫢🫢🫢🫢,"Flooding again, supposedly the southern area of Gresik is always evaluating, but why?","flooding again, supposedly the southern area of gresik is always evaluating, but why?",flooding again  supposedly the southern area of gresik is always evaluating  but why,flooding again supposedly southern area gresik always evaluate,flooding supposedly southern area gresik evaluate
nur_farida_nur,positif,Mantap 🙌,Awesome!,awesome!,awesome,awesome,awesome
gresik_info_loker,negatif,Info pembagian sekrop kah Ini pak?,"Information about the distribution of this crop, sir.","information about the distribution of this crop, sir.",information about the distribution of this crop  sir,information distribution crop,information distribution crop
asri_sejahtera,positif,Selamat untuk Gresik atas Adipuranya. Semangat bersih bersih,"Congratulations to Gresik for its noble spirit, clean and clean!","congratulations to gresik for its noble spirit, clean and clean!",congratulations to gresik for its noble spirit  clean and clean,congratulation gresik noble spirit clean clean,congratulation gresik noble spirit clean clean
hisbullah.huda1,positif,"Pak bupati, jalan kh syafii, rusak gara-gara galian pipa, belum diperbaiki. Membahayakan pengendara.","The Regent, Mr. Khairul Syafii, the road is damaged due to an unfinished pipe excavation, which poses a danger to drivers.","the regent, mr. khairul syafii, the road is damaged due to an unfinished pipe excavation, which poses a danger to drivers.",the regent  mr  khairul syafii  the road is damaged due to an unfinished pipe excavation  which poses a danger to drivers,regent mr khairul syafii road damage unfinished pipe excavation pose danger driver,regent mr khairul syafii road damage unfinished pipe excavation pose danger driver
studiobisnis.id,positif,Kalimatnya itu lo waktu diwawancarai...menunjukkan bahwa Bupatinya orang Gresik,The sentence he uttered when interviewed showed that the Regent of Gresik was a straightforward person.,the sentence he uttered when interviewed showed that the regent of gresik was a straightforward person.,the sentence he uttered when interviewed showed that the regent of gresik was a straightforward person,sentence utter interview show regent gresik straightforward person,sentence utter interview regent gresik straightforward person
rochmadaristia29,positif,"Mohon di perhatikan di traffic light Kecamatan Gresik dan Kebomas masih banyak Pengemis, Anak jalanan, Manusia Silver, Gelandangan untuk di tertibkan 🙏","Please note that traffic lights at Gresik District and Kebomas are still prone to many beggars, including child beggars, silver humans, and vagrants, and need to be controlled.","please note that traffic lights at gresik district and kebomas are still prone to many beggars, including child beggars, silver humans, and vagrants, and need to be controlled.",please note that traffic lights at gresik district and kebomas are still prone to many beggars  including child beggars  silver humans  and vagrants  and need to be controlled,note traffic light gresik district keboma still prone many beggar include child beggar silver human vagrant need control,note traffic light gresik district keboma prone beggar include child beggar silver human vagrant need control
fann_sznf,positif,Lanjutkan gus,"Please proceed, sir.","please proceed, sir.",please proceed  sir,proceed,proceed
